Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-04T13:31:28.366000Z,2024-04-04T13:34:14.271000Z,2024-04-12T09:39:06.682000Z,2024-04-04T13:34:14.787542Z,166,C8TRMCWU,121,30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:32:08.383000Z,2024-04-04T13:34:00.833000Z,2024-04-12T09:39:07.481000Z,2024-04-04T13:34:01.518234Z,113,C8TRMCWU,221,33,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:26.865000Z,2024-04-04T13:33:28.537000Z,2024-04-12T09:39:08.196000Z,2024-04-04T13:33:29.360374Z,122,C8TRMCWU,585,36,Male,White,Greece,Greece,Greece,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:27.157000Z,2024-04-04T13:32:29.092000Z,2024-04-12T09:39:08.900000Z,2024-04-04T13:32:29.936633Z,62,C8TRMCWU,414,25,Female,White,Romania,Ireland,Romania,Spanish,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:31:29.746000Z,2024-04-04T13:33:17.291000Z,2024-04-12T09:39:09.472000Z,2024-04-04T14:33:19.927399Z,108,C8TRMCWU,0,41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:27.893000Z,2024-04-04T13:32:24.685000Z,2024-04-12T09:39:10.208000Z,2024-04-04T13:32:25.126540Z,57,C8TRMCWU,142,37,Male,White,Macedonia,Slovenia,Slovenia,Macedonian,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:35.874000Z,2024-04-04T13:34:03.661000Z,2024-04-12T09:39:10.836000Z,2024-04-04T13:34:04.993979Z,148,C8TRMCWU,134,59,Female,White,Italy,Denmark,Italy,Italian,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:38.663000Z,2024-04-04T13:33:16.823000Z,2024-04-12T09:39:11.318000Z,2024-04-04T14:33:19.993847Z,99,C8TRMCWU,298,36,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:33:26.806000Z,2024-04-04T13:36:05.414000Z,2024-04-12T09:39:12.151000Z,2024-04-04T13:36:13.521046Z,159,C8TRMCWU,114,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:37.793000Z,2024-04-04T13:32:54.612000Z,2024-04-12T09:39:12.749000Z,2024-04-04T13:32:55.336880Z,77,C8TRMCWU,105,24,Female,White,Georgia,Latvia,Georgia,Georgian,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:31:42.714000Z,2024-04-04T13:32:24.248000Z,2024-04-12T09:39:13.739000Z,2024-04-04T13:32:25.203202Z,42,C8TRMCWU,965,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:45.583000Z,2024-04-04T13:33:27.634000Z,2024-04-12T09:39:16.768000Z,2024-04-04T13:33:28.431102Z,103,C8TRMCWU,224,47,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:42.198000Z,2024-04-04T13:32:52.699000Z,2024-04-12T09:39:17.558000Z,2024-04-04T13:32:53.355081Z,71,C8TRMCWU,81,30,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:50.132000Z,2024-04-04T13:32:55.040000Z,2024-04-12T09:39:18.577000Z,2024-04-04T13:32:55.746445Z,65,C8TRMCWU,147,20,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:31:53.002000Z,2024-04-04T13:32:56.835000Z,2024-04-12T09:39:19.216000Z,2024-04-04T13:32:57.421530Z,64,C8TRMCWU,149,34,Female,White,Spain,United Kingdom,Spain,Spanish,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:32:00.758000Z,2024-04-04T13:33:21.820000Z,2024-04-12T09:39:19.902000Z,2024-04-04T13:33:22.751572Z,82,C8TRMCWU,351,25,Female,White,United Kingdom,Spain,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:57.988000Z,2024-04-04T13:33:21.671000Z,2024-04-12T09:39:20.580000Z,2024-04-04T13:33:22.746540Z,84,C8TRMCWU,588,36,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:32:03.759000Z,2024-04-04T13:32:40.044000Z,2024-04-12T09:39:22.861000Z,2024-04-04T13:32:41.138986Z,37,C8TRMCWU,197,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
